"Id","Prediction"
0,4275412.56683333
1,3496344.16573333
2,3562135.58313333
3,3135389.35843333
4,3827026.395
5,5188566.03446667
6,4790193.37793333
7,3218735.27166667
8,4555948.31403333
9,4101056.00693333
10,4483469.82493333
11,5118778.85186667
12,4264359.84493333
13,3891638.09586667
14,3895009.71253333
15,4322494.6074
16,4359794.24996667
17,3545108.4533
18,4713081.59293333
19,3146117.05856667
20,2553042.31603333
21,4815579.50566666
22,4293962.95783334
23,4065514.57
24,4175936.31326667
25,4509387.28493333
26,3829978.36556667
27,4910994.5025
28,3692309.4574
29,5131548.66933333
30,4410129.99783333
31,3233985.53573333
32,3335405.65196667
33,4236236.9901
34,3356620.9511
35,4738666.89846667
36,3962619.9243
37,4564267.53696667
38,3772252.31253333
39,3992507.2345
40,5441561.13156667
41,4222661.7565
42,5714872.10843333
43,4547563.82173333
44,4825761.57043333
45,3941411.62393333
46,3432429.35473333
47,2857476.96626667
48,5344717.32976666
49,4347418.3106
50,4230876.401
51,3225533.52303333
52,4886733.21476667
53,2914080.90446667
54,3977546.5225
55,4213176.82886666
56,4627665.43423333
57,3787369.7596
58,4632808.8719
59,4943296.0688
60,3192577.42123333
61,3689249.35576667
62,4325422.72156667
63,4193241.30326667
64,4481716.11233333
65,5227336.3557
66,4659590.86986667
67,5326226.45923333
68,4837510.96713333
69,4618072.68243333
70,4378123.06923333
71,2936036.889
72,4716258.66256667
73,4092293.61136667
74,5508276.73533333
75,4979365.021
76,3795255.66303333
77,4492722.85506667
78,4860884.8528
79,4131223.3752
80,5160228.9398
81,5031734.0262
82,3809638.14373333
83,4527490.1109
84,4958708.4785
85,2617791.6798
86,4442940.89646666
87,4755527.84133333
88,4070778.7597
89,3566424.36303333
90,4973530.9941
91,4199777.32126667
92,3814883.6801
93,3895372.9154
94,5397412.1041
95,3224520.3118
96,4527977.17263334
97,4687973.431
98,4252237.037
99,4842873.09763333
100,5026394.21086667
101,3356819.64166667
102,3822051.06426667
103,3656698.58343333
104,4136992.41716667
105,3543151.59103333
106,4018356.10393334
107,5447373.21686667
108,5059433.45796666
109,4880898.41503333
110,5023682.13766667
111,4406024.5522
112,4662692.98466667
113,5371365.42566667
114,4201040.7494
115,5162696.7264
116,3232668.0634
117,4736509.32276666
